prompt,target,ngram,seq2seq,gpt2,t5
"Biden Takes Modest Executive Action After Climate Agenda Stalls In Congress
Joke:",He's doing what he can—when Congress won't do anything.,,Biden's still doing something about climate. We're stuck in the 21st century.,Biden took action—and the budget's in Congress.,Biden takes a very scathing action—that's a nuclear effort.
"Demi Lovato Appears To Call Out Ex Wilmer Valderrama Over Age Gap In New Song
Joke:",She's writing songs about their age gap—the internet's definitely going to notice.,,"She's singing about age gap—that's called 'turn it on, show me a gap.'",The Britney Spears song called out former MTV star Taylor Swift for talking about aging.,Demi's calling back Wilmer Valderrama over age—that's a bad idea for him.
"China Fights New COVID-19 Spike With More Selective Approach
Joke:",China's fighting COVID with a 'selective approach.' That's euphemism for 'we're giving up.',,China's fighting COVID—against what? Our national security.,China's beefing up on COVID—that's basically saying 'this is not your war but mine.',China's fighting COVID-19 -- a new tactic the most snacky.
"The Most Popular Movies On Netflix Right Now Besides 'Girl In The Picture'
Joke:",Netflix has popular movies—but nobody wants to admit they're watching them.,,Netflix's popular movies are mostly girl-based—that's Netflix's natural strategy.,Netflix is watching 'Girl In The Picture'—it's basically binge-watching a reality TV series.,Netflix has its biggest movie list—which is a film star in the movies.
"For This Child Of Immigrants, Pop Culture Became A Guide To Life In America
Joke:",Pop culture was a guidebook—that's the real American dream.,,Growing up in a culture that encourages hard work—that's literally what they call adulthood.,It was an American film made for immigrants. That's what you do when you're stuck in a country that disagrees with you.,It's a culture that has pushed people—and not people.
"Deputies Visit Will Smith's Home After Suspicious Drone Activity
Joke:","Cops visited Will over a drone. First the slap, now drones—Will's having a week.",,They visited Will's home after drones—confused as hell about his Wi-Fi security.,Deputies visited Will's home after a drone—that's the kind of approach you want to take when you find yourself in a dark place.,Will's home stopped for a drugs activity—that's a lot of people’s going to wait.
"Film And Stage Star Ariana DeBose To Host The Tony Awards
Joke:",Ariana's hosting the Tonys—that's a big gig for a big talent who deserves it.,,Ariana DeBose became the poster girl for bad acting.,Ariana DeBose is hosting the Oscars—that's Hollywood royalty that makes movies and stage appearances look like real estate.,Ariana's stage star is filmed and filmed. The Tonys are always entertaining.
"Josh Hawley's Home State Newspaper Chides Him As 'Laughingstock'
Joke:","His own newspaper's calling him out—when home state media turns on you, you're done.",,A newspaper is laughing at Hawley—which is like asking someone to call a political reporter.,"Josh's laughingstock—that's not a career, that's satire.",Josh said the state newspaper’s talking about laughing... and there's no joke here.
"2 Cops Sentenced For Violating George Floyd's Rights
Joke:","They're going to jail—finally, some accountability.",,"Two cops went to a meeting, broke George Floyd's rights and arrested him again.","Two cops violated Floyd's rights—that's not a crime, that's a civil rights violation.",Two cops were arrested—one for violating Floyd's rights.
"Supreme Court Hears Arguments Over 'Remain In Mexico' Policy For Asylum-Seekers
Joke:",The Court debated asylum policy—that's politics theatre disguised as justice.,,The justices really haven't been listening—and they're definitely not ready.,The court ruled the stay in Mexico—that's not democracy—that's American imperialism.,Supreme Court argued that Mexico was still a politically arguing country.
"COVID-19 Cases Rise While Few School Mask Mandates Return
Joke:",COVID's rising and nobody's masking—we've given up.,,COVID cases are rising while school masks have no place back home.,COVID-19 cases are rising while school masks are being mandatory. That's how hard it is to find a job.,COVID's back to school when the mask had trouble.
"Alabama Man Accused Of Stealing 70-Ton Crane
Joke:","A guy stole a crane. Sir, that's not burglary—that's a cry for help.",,He stole a crane—like he stole life.,He stole 70 tons—turns out the Crane is a relic that's never going to go anywhere.,Alabama's getting a man accused of killing a 70-ton crane—that's just the one thing people'll never understand.
"Mark Meadows Says Jan. 6 Panel Leaked Texts To 'Vilify' Him
Joke:","Meadows complained about his texts being leaked—dude, your WORDS vilified you, the leak just shared them.",,Meadows said texts leaked to the media—that's basically admitting something happened.,Meadows admitted he shared texts with the panel—that's the most honest thing about Trump.,A panel told him he'd 'viify' him... and his comments were hilarious.
"State Legislatures To Be 'Main Battleground' For Abortion Rights If Roe Is Overturned
Joke:","State legislatures are about to be the abortion battleground—buckle up, because this is going to get UGLY in very specific ways per state.",,Texas's trying to win—after everything else.,North Carolina's'main battleground' for reproductive rights—finally a'main battle' against abortion.,State Legislatures are trying to renegotiate abortion rights—just one thing that would stop everyone.
"An Elite Christian College Has Become The Latest Battleground In America's Culture Wars
Joke:",A Christian college is the new culture war—religion can't escape politics.,,A Christian college—and their culture war.,Christian college is losing battles—not just with the right arguments but also with the wrong one.,America's war battlegrounds haven't changed—even though it's not.
"Rep. Marjorie Taylor Greene Is Eligible To Run For Reelection: Judge
Joke:",The judge said she can run—chaos is officially allowed to continue.,,"MTG says MTG wants her gone—that's not a race, that's a comment.",MTG qualified for politics—she's running for office for the first time.,Rep. Marjorie Greene could face the election—that's the judge's right to vote.
"Adam Kinzinger Calls Gun Age Limits 'A No-Brainer,' Considers Assault Weapon Ban
Joke:",Kinzinger supports gun limits—finally a Republican who did the math.,,Kinzinger called gun age limits 'common sense.',Kinzinger said banning assault weapons isn't about stopping violence—it's about actually making sure we're actually talking about how to stop it.,The gun age limit is a No-brainer—the gun’s not just a weapons ban—only that's a lot of fun.
